Item	ItemExpID	context	adj	noun	cond	typ
333	154	Mary went into her room to look at her	illustrated	books	0	exp
467	235	The waitress wiped the table with a	damp	cloth	3	filler
426	194	Sofia liked riding the Ferris wheel at the	local	fair	3	filler
453	221	To help her plants grow, Carly used a	new	fertilizer	3	filler
436	204	The lucky explorers discovered diamonds in the	dark	cave	3	filler
62	36	The journalist reported that many collapsed during the	intense	storm	2	exp
28	17	Each night the campers built a huge	bright	tent	2	exp
466	234	The personal trainer took a job at the	local	gym	3	filler
448	216	The mother was excited to hold her	newborn	baby	3	filler
241	113	Tim's friend pushed him into a	kiddie	wall	2	exp
172	85	She felt dinner would not be complete unless she made	decadent	pie	2	exp
9	7	Gary could not believe his son stole that	expensive	car	1	exp
370	168	In the mysterious wooden box the girl found the	topographical	map	0	exp
472	240	Robert could fix the bike if he had the	right	tools	3	filler
447	215	Every day, the family worked in their	vegetable	garden	3	filler
121	67	As usual, he didn't do well because he had not prepared his	impassioned	speech	3	exp
452	220	After her house was robbed, Doris installed another	door	lock	3	filler
137	73	As soon as they reached the sand, he stopped to take off his	striped	shirt	0	exp
362	163	His ring fell into a hole in the	porcelain	sink	3	exp
197	97	The cigar stank and burned a hole in the	Hawaiian	couch	1	exp
328	152	Fred put the worm on the	dangling	hook	3	exp
430	198	The determined student was not discouraged by his	bad	grades	3	filler
74	42	He drove the nail into the	garage	wood	1	exp
181	90	Most men cannot understand why women wear	high	heels	3	exp
199	98	The man was caught selling an illegal	psychiatric	drug	3	exp
116	65	After getting out of the shower he sat down to have	instant	coffee	0	exp
100	56	They decided to declaw the cat so he wouldn't tear up the	thick	carpet	0	exp
39	22	They left the dirty dishes in the	kitchen	dishwasher	2	exp
469	237	The man went to the butcher to buy	some	meat	3	filler
185	92	The cat was crouched in the tall grass down by the	lazy	tree	2	exp
413	181	They waited for a windy day to use	their	kite	3	filler
51	30	Although she heard it ringing, Nancy was too busy cleaning the chimney to get the	cell	door	2	exp
431	199	Martin always dreamed of being a	police	officer	3	filler
405	173	The house filled with smells of the	freshly-baked	bread	3	filler
96	54	Barry wisely chose to pay the	electric	bill	3	exp
42	23	Our government was secretly supplying the rebels with arms and	counterfeit	money	3	exp
280	130	Every month Rick had to clean his	whole	house	0	exp
302	141	He smiled nervously as he searched through his pockets for a	single	dollar	3	exp
8	6	The young boy asked for another	homemade	cookie	3	exp
454	222	She had arranged all her dolls in a	neat	row	3	filler
306	144	He put a clean sheet on the	twin	table	2	exp
46	26	During years of drudgery, the man had derived comfort from a single	catchy	tune	0	exp
113	64	The cows moved from the sun into the	wooden	barn	0	exp
293	137	He always seemed to be interested in looking at the	blue	women	2	exp
411	179	The troubled boy decided to join the	neighborhood	gang	3	filler
336	155	I think that my stockbroker is a	habitual	liar	0	exp
13	9	Steve spilled coffee all over his clean white	polo	pants	2	exp
316	148	The old woman was the only one to see the	gruesome	ghost	1	exp
99	55	The bridesmaid had an ugly	pale	dress	1	exp
203	101	Mr. Smith enjoyed showing people his newly installed	large	television	3	exp
367	166	Although Jan was usually careful, she had forgotten to turn off the	cooking	stove	3	exp
229	107	The sewer backed up and caused a	unpleasant	smell	0	exp
414	182	Use tools to remove the lid from a	tin	can	3	filler
427	195	Kristin claimed to be the famous actor's	biggest	fan	3	filler
71	40	Rushing out he forgot to take his	spare	keys	3	exp
5	4	If he strained his eyes he could see a	tiny	speck	0	exp
191	94	At the park next to the beach she saw a man with a	loyal	hat	2	exp
277	129	Ida wanted to sing folk songs at the picnic, so she brought her	acoustic	guitar	3	exp
141	75	He looked worried because he might have broken his	stylish	arm	1	exp
305	143	They couldn't decide on a name for their new	trained	baby	1	exp
420	188	Hank made a special horseshoe for Blazer's	deformed	hoof	3	filler
30	18	Sandy always wished that she had had a	Persian	cat	0	exp
437	205	Sally took her children to the	candy	store	3	filler
410	178	While his parents vacationed, the kid threw a	huge	party	3	filler
407	175	It's dangerous when cars get stuck on a	train	track	3	filler
262	121	In his day, that old guy was one of the best	collegiate	players	1	exp
250	117	Although John felt some remorse he decided to return the	generous	book	1	exp
409	177	The biker fell on his head, damaging his	frontal	lobe	3	filler
408	176	The rotten fruit had turned into a	soft	mush	3	filler
424	192	Steven went to market and purchased	ground	beef	3	filler
309	145	She left the tiny baby alone in the	little	crib	3	exp
438	206	To start the Sumo match they struck a	large	gong	3	filler
194	95	He slipped and fell on the	uneven	pavement	0	exp
35	21	The rude waiter was not given a	second	tip	1	exp
281	131	They decided to buy a small place and build an addition with two more	upper	floors	0	exp
81	45	Sharon dried the bowls with a	filthy	rag	0	exp
136	72	After dinner they washed the	family	car	0	exp
82	46	I sat far off to the side of the auditorium and my line of sight was blocked by a	supporting	man	1	exp
421	189	To stay warm in cold weather, wear a	winter	coat	3	filler
295	138	There was a moth caught in the	spider	web	3	exp
443	211	The man bought his girlfriend a	diamond	ring	3	filler
119	66	They waited a long time to see the	animated	show	2	exp
16	11	He always hid an extra set of keys under a	rubber	mat	3	exp
61	35	Helen reached up to dust the	halogen	shelf	1	exp
24	15	Phil put some drops in his	red	eyes	3	exp
85	47	Most of the trees died after last year's	dreadful	fire	2	exp
464	232	The ranch workers were startled by the charging	angry	bull	3	filler
475	243	Nicole hung the wall painting using a	small	nail	3	filler
209	102	The hikers wanted to camp close to the	mighty	lake	1	exp
128	70	Mrs. Stevens said that little Dennis was the loudest boy in the	entire	class	3	exp
290	136	As a punishment, his parents immediately took away his	smart	phone	3	exp
44	24	The jeweler was asked if he would examine the ring's huge	artificial	diamond	3	exp
272	128	Every morning before school his mother laid out his clothes and packed his	messenger	bag	0	exp
440	208	The frightened children ran from the	growling	dog	3	filler
311	146	The officials tried to evacuate everyone from the area before the	developing	flood	2	exp
173	86	The truck that Dave drove crashed into the	hickory	tree	3	exp
31	19	No one at the reunion recognized Dan because he had grown a	twisted	beard	1	exp
12	8	The university wouldn't let him register until he paid the overdue fines on the borrowed	comic	loan	2	exp
465	233	To complete her painting set, Sara bought a	new	brush	3	filler
152	80	When Drew arrived unexpectedly at the restaurant, Laurie got him a chair from the adjacent	dining	room	0	exp
471	239	Nobody there could undo such a	tight	knot	3	filler
406	174	The strict Catholic family never misses	Sunday	mass	3	filler
183	91	The other driver was so angry he threatened him with a	civil	lawsuit	0	exp
80	44	Their picnic was ruined by the	bad	weather	0	exp
87	49	The county decided to tear down the gas station by the	elementary	school	0	exp
50	29	They installed an extremely expensive alarm system to protect their	suburban	family	2	exp
359	162	The senator had once been a	preschool	judge	2	exp
423	191	The gemstone in Emma's new ring was	green	emerald	3	filler
289	135	The Italian chef was known for his fabulous	pesto	pasta	1	exp
21	14	I had lost the ticket I needed to pick up my	rental	car	0	exp
459	227	After collecting the pollen, the bee returned to	his	hive	3	filler
223	104	It was time to hang the new	advent	calendar	0	exp
179	88	The shirt was stained with	dried	blood	3	exp
160	81	Rafael wants to preserve the national forest by guarding every	cedar	creature	2	exp
17	12	He returned the hole punch to the	substitute	desk	1	exp
449	217	The parked cars were damaged by the	violent	storm	3	filler
326	151	He liked lemon and sugar in his	sparkling	tea	1	exp
284	132	He was grouchy because he was having trouble with his	nightmarish	dreams	0	exp
329	153	The car accident five years ago left an ugly scar on his	hairy	chest	0	exp
418	186	The soccer player was praised for the	game-winning	goal	3	filler
446	214	Sherry always drank hot tea out of her	favorite	mug	3	filler
462	230	Chris said his dog had always been his	best	friend	3	filler
75	43	We sprayed the yard to keep away the	nasty	animals	2	exp
358	161	Peter painted the walls of the bird exhibit light blue to resemble the	cloudless	sky	3	exp
322	149	They had been wandering in circles because nobody had a	detailed	compass	2	exp
301	140	Jessie left without his toolbox or his	packed	lunch	0	exp
268	125	Randy froze when he saw a shadow at the end of the	dark	hallway	1	exp
26	16	He was caught stealing a	borrowed	bike	2	exp
65	37	She was quite surprised that Bill didn't keep his	solemn	promise	3	exp
242	114	He finally bought some poison to kill the	diseased	cat	2	exp
248	116	Joan fed her baby some warm	breast	soup	2	exp
460	228	The farmers won a blue ribbon for their	fat	pig	3	filler
415	183	Just below the water, Gary could see the	shark's	fin	3	filler
457	225	The stable was home to Rick's	favorite	horse	3	filler
417	185	At the landfill, Fred cut himself on a	rusty	nail	3	filler
70	39	She pulled her head out from under the faucet and reached for a	dry	towel	3	exp
439	207	The baseball player always used his lucky	catcher's	mitt	3	filler
357	160	They stood on the bridge tossing stale bread to the	wild	geese	0	exp
86	48	While they were eating pancakes, Albert noticed a bee swimming in the	sticky	syrup	3	exp
260	120	She was glad she had brought a good book with her since there was nothing to read at the	post	store	2	exp
428	196	The professor always wore a suit and a	crazy	tie	3	filler
463	231	The amusement park was popular for its	unique	rides	3	filler
49	28	She was named after her	famous	aunt	0	exp
216	103	Coming in, he took off his	hard	shoes	1	exp
167	84	Larry chose not to join the	Confederate	group	2	exp
7	5	It was a dream come true because Jane had always wanted to visit Europe with her	new	boyfriend	3	exp
288	134	No matter how hard she tried, she could not remember the	serial	number	0	exp
4	3	At night the old woman locked the	frosty	window	0	exp
135	71	Kim was relieved to see that ample food had been made for the	bachelorette	party	3	exp
91	50	She helped him put the finishing touches on the	abstract	painting	3	exp
412	180	The little girl loved making art with	colored	pencils	3	filler
434	202	The swim team's performance improved after hiring a	new	coach	3	filler
435	203	One of the patient's symptoms was a	persistent	cough	3	filler
235	110	He grew corn to feed his	dairy	family	2	exp
473	241	The camper's food attracted a large	mother	bear	3	filler
450	218	Even the mother's singing couldn't calm the	screaming	baby	3	filler
267	124	The only food in the refrigerator was a moldy	sub	cheese	2	exp
468	236	Meredith laughed loudly when she heard the	funny	joke	3	filler
124	69	The applause could be heard throughout the	echoey	hall	0	exp
110	62	We followed the path up the hill, and there, under the tree, was a	poisonous	cat	1	exp
253	119	The white gull dove down and caught a	floppy	fish	3	exp
201	100	Before she arrived he opened a bottle of wine and put on some soft	classical	clothes	2	exp
271	127	There were a lot of old boxes stored in the	dusty	attic	3	exp
474	242	Bill couldn't fix the car without having the	right	tools	3	filler
45	25	Liz and Marie sat at the conference table and discussed the topic for the next	work	week	0	exp
461	229	Jay's plants grew poorly but decayed into	fertile	soil	3	filler
93	52	She was glad she had accompanied her friend because she was enjoying the party except for the	bland	food	0	exp
368	167	The bad boy was sent to his	own	room	3	exp
263	122	She took the baby out when he started to cry and had to miss the rest of the	scary	movie	3	exp
109	61	The hinges were rusted shut, so he had to pry it open with a	sharp	knife	0	exp
470	238	When guests visit, the host serves drinks in	crystal	glasses	3	filler
180	89	There were brightly colored pictures on every	interior	page	2	exp
455	223	The kids ran through the sprinklers on the	front	lawn	3	filler
165	83	The Vietnam vet had received the Purple Heart, and when he took off his shirt you could see all of his	gruesome	scars	3	exp
323	150	It's raining, and I forgot my coat, hat, and	waterproof	boots	0	exp
151	79	Dillinger once robbed that	federal	store	2	exp
351	159	They rested under a tree in the	local	light	2	exp
419	187	On their doorstep was a flaming bag of	dog	poop	3	filler
164	82	I could hear the loud telephone ringing through the	sliding	wall	1	exp
195	96	The Democrats seemed to focus on defense while the Republicans talked about the	balanced	economy	1	exp
451	219	The tracker followed the prints from the	horse's	hooves	3	filler
20	13	As a child he used to collect	glass	marbles	0	exp
48	27	You could tell he had grown up in the South by his	strong	accent	3	exp
315	147	The breeze lifted the	dry	skirt	1	exp
342	157	She flipped through the stations in search of some	loud	music	3	exp
429	197	For his calligraphy, Jordan looked for a	special	pen	3	filler
55	32	I just had a new sound system installed in my	compact	car	3	exp
95	53	She cleaned the dirt from her	muddy	shoes	3	exp
1	1	He was so busy and overwhelmed that he had forgotten to respond to the	important	note	2	exp
52	31	The house at the end of the narrow road was built of	sunburned	bricks	1	exp
265	123	Every spring they held the annual	military	festival	1	exp
224	105	Ken built his new house on a quiet	wooded	lot	0	exp
442	210	Zeke's closest friends threw him a giant	birthday	party	3	filler
139	74	He really wanted to go but decided to stay home to wait for the	school	bus	3	exp
14	10	The fertilizer enriched the	dry	grass	2	exp
233	108	His seat was next to the	revolving	door	0	exp
73	41	The person who caught the thief deserves our	utmost	respect	3	exp
33	20	The last thing they were expecting on their wedding day was a raging	Spanish	storm	1	exp
143	77	They had to shampoo the new beige rug after the accident with the	expensive	dog	1	exp
144	78	The wealthy couple's three little girls enjoyed playing together in the	front	park	2	exp
348	158	Steve invited his girlfriend to a	formal	dance	0	exp
286	133	She was feeling cold so she put on her	fuzzy	sweater	1	exp
225	106	Within minutes of arriving at the office, the detective spilled his thermos full of	hearty	coffee	1	exp
112	63	He bought her a pearl necklace for her	first	birthday	1	exp
234	109	Every day, rain or shine, the joggers ran up and down the	narrow	hill	1	exp
251	118	No one wanted to make any decisions until after the	birthday	meeting	1	exp
59	34	The squirrel stored some nuts in the	cold	tree	1	exp
178	87	Her cold drink was served with a slice of	fresh	pie	2	exp
106	60	Since the water was unsafe they decided to drink	orange	tea	2	exp
303	142	Quite predictably, the first thing the doctor asked for was the	specific	test	2	exp
433	201	Eric was worried that his car didn't have	enough	gas	3	filler
458	226	After a hard workday, James liked drinking a	cold	beer	3	filler
